Numero da loja,Numero do produto,Mes da venda,Ano da venda,Quantidade vendida
1,1,1,2021,47.0
1,2,1,2021,10.0
1,3,1,2021,32.0
1,4,1,2021,11.0
1,5,1,2021,12.0
1,6,1,2021,
1,7,1,2021,4.0
1,8,1,2021,44.0
1,9,1,2021,29.0
1,10,1,2021,25.0
1,11,1,2021,20.0
1,12,1,2021,19.0
1,13,1,2021,22.0
1,14,1,2021,
1,15,1,2021,40.0
1,16,1,2021,33.0
1,17,1,2021,15.0
1,18,1,2021,47.0
1,19,1,2021,17.0
1,20,1,2021,31.0
1,21,1,2021,36.0
1,22,1,2021,30.0
1,23,1,2021,42.0
1,24,1,2021,39.0
1,25,1,2021,48.0
1,26,1,2021,5.0
1,27,1,2021,36.0
1,28,1,2021,40.0
1,29,1,2021,4.0
1,30,1,2021,
1,31,1,2021,17.0
1,32,1,2021,1.0
1,33,1,2021,13.0
1,34,1,2021,45.0
1,35,1,2021,16.0
1,36,1,2021,38.0
1,37,1,2021,7.0
1,38,1,2021,34.0
1,39,1,2021,27.0
1,40,1,2021,31.0
1,41,1,2021,2.0
1,42,1,2021,10.0
1,43,1,2021,31.0
1,44,1,2021,13.0
1,45,1,2021,49.0
1,46,1,2021,5.0
1,47,1,2021,47.0
1,48,1,2021,29.0
1,49,1,2021,4.0
1,50,1,2021,38.0
2,1,1,2021,35.0
2,2,1,2021,31.0
2,3,1,2021,29.0
2,4,1,2021,3.0
2,5,1,2021,49.0
2,6,1,2021,4.0
2,7,1,2021,4.0
2,8,1,2021,2.0
2,9,1,2021,38.0
2,10,1,2021,9.0
2,11,1,2021,36.0
2,12,1,2021,46.0
2,13,1,2021,26.0
2,14,1,2021,31.0
2,15,1,2021,15.0
2,16,1,2021,45.0
2,17,1,2021,27.0
2,18,1,2021,47.0
2,19,1,2021,25.0
2,20,1,2021,49.0
2,21,1,2021,47.0
2,22,1,2021,31.0
2,23,1,2021,38.0
2,24,1,2021,46.0
2,25,1,2021,39.0
2,26,1,2021,36.0
2,27,1,2021,7.0
2,28,1,2021,32.0
2,29,1,2021,12.0
2,30,1,2021,22.0
2,31,1,2021,7.0
2,32,1,2021,39.0
2,33,1,2021,46.0
2,34,1,2021,45.0
2,35,1,2021,9.0
2,36,1,2021,36.0
2,37,1,2021,27.0
2,38,1,2021,42.0
2,39,1,2021,31.0
2,40,1,2021,38.0
2,41,1,2021,10.0
2,42,1,2021,7.0
2,43,1,2021,37.0
2,44,1,2021,31.0
2,45,1,2021,42.0
2,46,1,2021,44.0
2,47,1,2021,38.0
2,48,1,2021,44.0
2,49,1,2021,7.0
2,50,1,2021,30.0
3,1,1,2021,32.0
3,2,1,2021,43.0
3,3,1,2021,18.0
3,4,1,2021,20.0
3,5,1,2021,47.0
3,6,1,2021,36.0
3,7,1,2021,15.0
3,8,1,2021,41.0
3,9,1,2021,47.0
3,10,1,2021,32.0
3,11,1,2021,22.0
3,12,1,2021,39.0
3,13,1,2021,47.0
3,14,1,2021,14.0
3,15,1,2021,37.0
3,16,1,2021,15.0
3,17,1,2021,
3,18,1,2021,0.0
3,19,1,2021,39.0
3,20,1,2021,47.0
3,21,1,2021,50.0
3,22,1,2021,0.0
3,23,1,2021,1.0
3,24,1,2021,21.0
